V4_0,Time_codelist,Time,Geography_codelist,Geography,Age_codelist,Age,Sex_codelist,Sex
23239,Year,2013,N92000002,Northern Ireland,7,7,0,All
11882,Year,2014,N92000002,Northern Ireland,7,7,2,Female
12568,Year,2014,N92000002,Northern Ireland,7,7,1,Male
12575,Year,2015,N92000002,Northern Ireland,7,7,2,Female
24450,Year,2014,N92000002,Northern Ireland,7,7,0,All
13177,Year,2015,N92000002,Northern Ireland,7,7,1,Male
25752,Year,2015,N92000002,Northern Ireland,7,7,0,All
13227,Year,2016,N92000002,Northern Ireland,8,8,1,Male
12603,Year,2016,N92000002,Northern Ireland,8,8,2,Female
25830,Year,2016,N92000002,Northern Ireland,8,8,0,All
10975,Year,2013,N92000002,Northern Ireland,8,8,2,Female
22656,Year,2013,N92000002,Northern Ireland,8,8,0,All
11681,Year,2013,N92000002,Northern Ireland,8,8,1,Male
11377,Year,2014,N92000002,Northern Ireland,8,8,2,Female
11967,Year,2014,N92000002,Northern Ireland,8,8,1,Male
23344,Year,2014,N92000002,Northern Ireland,8,8,0,All
11922,Year,2015,N92000002,Northern Ireland,8,8,2,Female
12614,Year,2015,N92000002,Northern Ireland,8,8,1,Male
24536,Year,2015,N92000002,Northern Ireland,8,8,0,All
11980,Year,2016,N92000002,Northern Ireland,9,9,2,Female
24643,Year,2016,N92000002,Northern Ireland,9,9,0,All
12663,Year,2016,N92000002,Northern Ireland,9,9,1,Male
10842,Year,2013,N92000002,Northern Ireland,9,9,2,Female
11547,Year,2013,N92000002,Northern Ireland,9,9,1,Male
22389,Year,2013,N92000002,Northern Ireland,9,9,0,All
10988,Year,2014,N92000002,Northern Ireland,9,9,2,Female
11718,Year,2014,N92000002,Northern Ireland,9,9,1,Male
22706,Year,2014,N92000002,Northern Ireland,9,9,0,All
12008,Year,2015,N92000002,Northern Ireland,9,9,1,Male
11385,Year,2015,N92000002,Northern Ireland,9,9,2,Female
23393,Year,2015,N92000002,Northern Ireland,9,9,0,All
11429,Year,2016,N92000002,Northern Ireland,10,10,2,Female
23470,Year,2016,N92000002,Northern Ireland,10,10,0,All
12041,Year,2016,N92000002,Northern Ireland,10,10,1,Male
10686,Year,2013,N92000002,Northern Ireland,10,10,2,Female
11155,Year,2013,N92000002,Northern Ireland,10,10,1,Male
10883,Year,2014,N92000002,Northern Ireland,10,10,2,Female
21841,Year,2013,N92000002,Northern Ireland,10,10,0,All
11598,Year,2014,N92000002,Northern Ireland,10,10,1,Male
22481,Year,2014,N92000002,Northern Ireland,10,10,0,All
11023,Year,2015,N92000002,Northern Ireland,10,10,2,Female
11752,Year,2015,N92000002,Northern Ireland,10,10,1,Male
22775,Year,2015,N92000002,Northern Ireland,10,10,0,All
11057,Year,2016,N92000002,Northern Ireland,11,11,2,Female
11803,Year,2016,N92000002,Northern Ireland,11,11,1,Male
10736,Year,2013,N92000002,Northern Ireland,11,11,2,Female
22860,Year,2016,N92000002,Northern Ireland,11,11,0,All
11238,Year,2013,N92000002,Northern Ireland,11,11,1,Male
21974,Year,2013,N92000002,Northern Ireland,11,11,0,All
10740,Year,2014,N92000002,Northern Ireland,11,11,2,Female
11211,Year,2014,N92000002,Northern Ireland,11,11,1,Male
21951,Year,2014,N92000002,Northern Ireland,11,11,0,All
10921,Year,2015,N92000002,Northern Ireland,11,11,2,Female
22543,Year,2015,N92000002,Northern Ireland,11,11,0,All
11622,Year,2015,N92000002,Northern Ireland,11,11,1,Male
11664,Year,2016,N92000002,Northern Ireland,12,12,1,Male
10955,Year,2016,N92000002,Northern Ireland,12,12,2,Female
22619,Year,2016,N92000002,Northern Ireland,12,12,0,All
10826,Year,2013,N92000002,Northern Ireland,12,12,2,Female
11366,Year,2013,N92000002,Northern Ireland,12,12,1,Male
22192,Year,2013,N92000002,Northern Ireland,12,12,0,All
10789,Year,2014,N92000002,Northern Ireland,12,12,2,Female
11269,Year,2014,N92000002,Northern Ireland,12,12,1,Male
22058,Year,2014,N92000002,Northern Ireland,12,12,0,All
10803,Year,2015,N92000002,Northern Ireland,12,12,2,Female
11253,Year,2015,N92000002,Northern Ireland,12,12,1,Male
22056,Year,2015,N92000002,Northern Ireland,12,12,0,All
10847,Year,2016,N92000002,Northern Ireland,13,13,2,Female
11299,Year,2016,N92000002,Northern Ireland,13,13,1,Male
22146,Year,2016,N92000002,Northern Ireland,13,13,0,All
11108,Year,2013,N92000002,Northern Ireland,13,13,2,Female
11988,Year,2013,N92000002,Northern Ireland,13,13,1,Male
23096,Year,2013,N92000002,Northern Ireland,13,13,0,All
10887,Year,2014,N92000002,Northern Ireland,13,13,2,Female
11410,Year,2014,N92000002,Northern Ireland,13,13,1,Male
22297,Year,2014,N92000002,Northern Ireland,13,13,0,All
10811,Year,2015,N92000002,Northern Ireland,13,13,2,Female
11319,Year,2015,N92000002,Northern Ireland,13,13,1,Male
22130,Year,2015,N92000002,Northern Ireland,13,13,0,All
10864,Year,2016,N92000002,Northern Ireland,14,14,2,Female
11352,Year,2016,N92000002,Northern Ireland,14,14,1,Male
22216,Year,2016,N92000002,Northern Ireland,14,14,0,All
11780,Year,2013,N92000002,Northern Ireland,14,14,2,Female
12354,Year,2013,N92000002,Northern Ireland,14,14,1,Male
24134,Year,2013,N92000002,Northern Ireland,14,14,0,All
11127,Year,2014,N92000002,Northern Ireland,14,14,2,Female
23162,Year,2014,N92000002,Northern Ireland,14,14,0,All
12035,Year,2014,N92000002,Northern Ireland,14,14,1,Male
10912,Year,2015,N92000002,Northern Ireland,14,14,2,Female
11445,Year,2015,N92000002,Northern Ireland,14,14,1,Male
22357,Year,2015,N92000002,Northern Ireland,14,14,0,All
10921,Year,2016,N92000002,Northern Ireland,15,15,2,Female
11475,Year,2016,N92000002,Northern Ireland,15,15,1,Male
22396,Year,2016,N92000002,Northern Ireland,15,15,0,All
11918,Year,2013,N92000002,Northern Ireland,15,15,2,Female
12534,Year,2013,N92000002,Northern Ireland,15,15,1,Male
24452,Year,2013,N92000002,Northern Ireland,15,15,0,All
11822,Year,2014,N92000002,Northern Ireland,15,15,2,Female
12381,Year,2014,N92000002,Northern Ireland,15,15,1,Male
24203,Year,2014,N92000002,Northern Ireland,15,15,0,All
11137,Year,2015,N92000002,Northern Ireland,15,15,2,Female
12062,Year,2015,N92000002,Northern Ireland,15,15,1,Male
23199,Year,2015,N92000002,Northern Ireland,15,15,0,All
11163,Year,2016,N92000002,Northern Ireland,16,16,2,Female
12100,Year,2016,N92000002,Northern Ireland,16,16,1,Male
12184,Year,2013,N92000002,Northern Ireland,16,16,2,Female
23263,Year,2016,N92000002,Northern Ireland,16,16,0,All
12652,Year,2013,N92000002,Northern Ireland,16,16,1,Male
24836,Year,2013,N92000002,Northern Ireland,16,16,0,All
11943,Year,2014,N92000002,Northern Ireland,16,16,2,Female
12566,Year,2014,N92000002,Northern Ireland,16,16,1,Male
24509,Year,2014,N92000002,Northern Ireland,16,16,0,All
11849,Year,2015,N92000002,Northern Ireland,16,16,2,Female
12422,Year,2015,N92000002,Northern Ireland,16,16,1,Male
24271,Year,2015,N92000002,Northern Ireland,16,16,0,All
11870,Year,2016,N92000002,Northern Ireland,17,17,2,Female
12433,Year,2016,N92000002,Northern Ireland,17,17,1,Male
24303,Year,2016,N92000002,Northern Ireland,17,17,0,All
11939,Year,2013,N92000002,Northern Ireland,17,17,2,Female
24572,Year,2013,N92000002,Northern Ireland,17,17,0,All
12633,Year,2013,N92000002,Northern Ireland,17,17,1,Male
12213,Year,2014,N92000002,Northern Ireland,17,17,2,Female
12656,Year,2014,N92000002,Northern Ireland,17,17,1,Male
24869,Year,2014,N92000002,Northern Ireland,17,17,0,All
11974,Year,2015,N92000002,Northern Ireland,17,17,2,Female
12588,Year,2015,N92000002,Northern Ireland,17,17,1,Male
24562,Year,2015,N92000002,Northern Ireland,17,17,0,All
11916,Year,2016,N92000002,Northern Ireland,18,18,2,Female
12610,Year,2016,N92000002,Northern Ireland,18,18,1,Male
24526,Year,2016,N92000002,Northern Ireland,18,18,0,All
12071,Year,2013,N92000002,Northern Ireland,18,18,2,Female
12773,Year,2013,N92000002,Northern Ireland,18,18,1,Male
24844,Year,2013,N92000002,Northern Ireland,18,18,0,All
11974,Year,2014,N92000002,Northern Ireland,18,18,2,Female
12715,Year,2014,N92000002,Northern Ireland,18,18,1,Male
24689,Year,2014,N92000002,Northern Ireland,18,18,0,All
12284,Year,2015,N92000002,Northern Ireland,18,18,2,Female
12689,Year,2015,N92000002,Northern Ireland,18,18,1,Male
24973,Year,2015,N92000002,Northern Ireland,18,18,0,All
11551,Year,2016,N92000002,Northern Ireland,19,19,2,Female
12334,Year,2016,N92000002,Northern Ireland,19,19,1,Male
23885,Year,2016,N92000002,Northern Ireland,19,19,0,All
11755,Year,2013,N92000002,Northern Ireland,19,19,2,Female
12557,Year,2013,N92000002,Northern Ireland,19,19,1,Male
11308,Year,2014,N92000002,Northern Ireland,19,19,2,Female
24312,Year,2013,N92000002,Northern Ireland,19,19,0,All
12430,Year,2014,N92000002,Northern Ireland,19,19,1,Male
23738,Year,2014,N92000002,Northern Ireland,19,19,0,All
11225,Year,2015,N92000002,Northern Ireland,19,19,2,Female
12380,Year,2015,N92000002,Northern Ireland,19,19,1,Male
23605,Year,2015,N92000002,Northern Ireland,19,19,0,All
11092,Year,2016,N92000002,Northern Ireland,20,20,2,Female
12295,Year,2016,N92000002,Northern Ireland,20,20,1,Male
23387,Year,2016,N92000002,Northern Ireland,20,20,0,All
11510,Year,2013,N92000002,Northern Ireland,20,20,2,Female
12199,Year,2013,N92000002,Northern Ireland,20,20,1,Male
23709,Year,2013,N92000002,Northern Ireland,20,20,0,All
11569,Year,2014,N92000002,Northern Ireland,20,20,2,Female
12423,Year,2014,N92000002,Northern Ireland,20,20,1,Male
23992,Year,2014,N92000002,Northern Ireland,20,20,0,All
11121,Year,2015,N92000002,Northern Ireland,20,20,2,Female
23460,Year,2015,N92000002,Northern Ireland,20,20,0,All
12339,Year,2015,N92000002,Northern Ireland,20,20,1,Male
11061,Year,2016,N92000002,Northern Ireland,21,21,2,Female
12162,Year,2016,N92000002,Northern Ireland,21,21,1,Male
23223,Year,2016,N92000002,Northern Ireland,21,21,0,All
12029,Year,2013,N92000002,Northern Ireland,21,21,2,Female
12452,Year,2013,N92000002,Northern Ireland,21,21,1,Male
24481,Year,2013,N92000002,Northern Ireland,21,21,0,All
11564,Year,2014,N92000002,Northern Ireland,21,21,2,Female
12112,Year,2014,N92000002,Northern Ireland,21,21,1,Male
23676,Year,2014,N92000002,Northern Ireland,21,21,0,All
11539,Year,2015,N92000002,Northern Ireland,21,21,2,Female
12287,Year,2015,N92000002,Northern Ireland,21,21,1,Male
23826,Year,2015,N92000002,Northern Ireland,21,21,0,All
11584,Year,2016,N92000002,Northern Ireland,22,22,2,Female
